,Accuracy,Accuracy,F1,F1
Feature_Set,Enhanced Features,Original Features,Enhanced Features,Original Features
Classifier,,,,
Gradient Boosting,0.6227649367640645,0.618839947666812,0.6212784588441331,0.6136162687886826
K-Nearest Neighbors,0.5913650239860445,0.5887483645878762,0.5855816010614773,0.5769403319874383
Logistic Regression,0.6044483209768862,0.5689053641517663,0.5725730442978322,0.5655899802241265
Naive Bayes,0.5276929786306149,0.5586567815089403,0.659326832337213,0.6268436578171092
Neural Network,0.6245093763628434,0.623637156563454,0.6288793103448276,0.6398163606010017
Random Forest,0.6020497165285652,0.6053205407762756,0.5908989015915714,0.5947156291983878
SVM (Linear),0.5920191888355866,0.5787178368948975,0.48357714601159263,0.5765015344147304
SVM (RBF),0.6098996947230703,0.6223288268643699,0.5677699927518725,0.611659192825112
